ICD10编码	ICD10副编码	ICD10名称	拼音助剂码
G60.803		色素沉着,水肿,多发性神经病综合征	SSCZSZDFXSJB
G60.804		遗传性感觉性神经病	YCXGJXSJB
G60.901		遗传性周围神经病	YCXZWSJB
G61.001		费舍综合征(变异型格林-巴利综合征)	FSZHZBYXGLBL
G61.002		感染后多发性周围神经病	GRHDFXZWSJB
G61.003		格林-巴利氏综合征(急性感染性多神经炎	GLBLSZHZJXGR
G61.004		慢性格林巴利氏综合征	MXGLBLSZHZ
G61.801		慢性炎性脱髓鞘性多发性周围神经病（CIDP）	MXYXTSQXDFXZ
G62.001		药物性多神经病	YWXDSJB
G62.002		药物性周围神经病	YWXZWSJB
G62.101		酒精中毒性周围神经病	JJZDXZWSJB
G62.102		慢性酒精中毒性神经病	MXJJZDXSJB
G62.201		化学性多神经病	HXXDSJB
G62.202		有机磷中毒性周围神经病	YJLZDXZWSJB
G62.203		中毒性多神经病	ZDXDSJB
G62.901		多发性神经根炎	DFXSJGY
G62.902		多发性神经炎	DFXSJY
G62.903		多神经病	DSJB
G62.904		周围神经病	ZWSJB
G62.905		周围神经炎	ZWSJY
G70.001		重症肌无力	ZZJWL
G70.101		中毒性肌神经疾患	ZDXJSJJH
G70.201		先天性肌弛缓	XTXJCH
G70.901		喉肌无力	HJWL
G70.902		肌神经疾患	JSJJH
G70.903		肌无力	JWL
G70.904		肌无力危象	JWLWX
G70.905		肌无力综合征	JWLZHZ
G70.906		继发性肌无力综合征	JFXJWLZHZ
G70.907		面肌肌无力	MJJWL
G70.908		神经肌病	SJJB
G71.001		肌营养不良	JYYBL
G71.002		假肥大性肌营养不良	JFDXJYYBL
G71.003		进行性(遗传性)肌营养不良	JXXJYYBL
G71.004		远端型肌病	YDXJB
G71.005		肌营养不良（良性肩腓性肌营养不良伴有早期挛缩EMER	JYYBLLXJFXJY
G71.101		ISAACS综合征	ISAACSZHZ
G71.102		强直性肌营养不良	QZXJYYBL
G71.103		萎缩性肌强直	WSXJQZ
G71.104		先天性肌强直	XTXJQZ
G71.201		先天性肌病	XTXJB
G71.301		线粒体肌病	XLTJB
G71.801		肌萎缩	JWS
G72.101		酒精性肌病	JJXJB
G72.201		中毒性肌病	ZDXJB
G72.301		低血钾性周期性麻痹	DXJXZQXMB
G72.302		高血钾性周期性麻痹	GXJXZQXMB
G72.303		甲亢性周期性麻痹	JKXZQXMB
G72.304		周期性麻痹	ZQXMB
G72.801		肌麻痹	JMB
G72.802		血管性肌病	XGXJB
G72.901		肌病	JB
G72.902		横纹肌溶解综合征	HWJRJZHZ
G80.101		痉挛性双侧瘫	JLXSCT
G80.201		婴儿性偏瘫	YEXPT
G80.301		双侧性手足徐动症	SCXSZXDZ
G80.302		婴儿大脑性手足徐动型轻瘫	YEDNXSZXDX
G80.901		脑性瘫痪	NXTH
G56.401		灼性神经痛	ZXSJT
G57.001		梨状肌综合征	LZJZHZ
G57.002		坐骨神经损害	ZGSJSH
G57.003		坐骨神经粘连	ZGSJZL
G82.101		痉挛性截瘫	JLXJT
G92  01		中毒性脑病	ZDXNB
G93.001		蛛网膜囊肿	ZWMNZ
G93.002		脑囊肿	NNZ
G93.003		透明隔囊肿	TMGNZ
G93.004		硬脊膜外囊肿	YJMWNZ
G93.005		硬膜下囊肿	YMXNZ
G93.101		缺氧性脑病(肺性脑病)	QYXNBFXNB
G93.102		脑缺氧症	NQYZ
G93.201		颅内压增高	LNYZG
G93.401		白质灰质性脑病	BZHZXNB
G93.402		低颅压综合征	DLYZHZ
G93.403		间脑病变	JNBB
G93.404		颅内压降低	LNYJD
G93.405		弥散性脑病	MSXNB
G93.406		脑白质病	NBZB
G93.407		脑病变	NBB
G93.408		枕叶脑白质病变	ZYNBZBB
G93.501		枕骨大孔疝	ZGDKS
G93.502		脑干受压	NGSY
G93.503		脑干占位性病变	NGZWXBB
G93.504		脑干肿物	NGZW
G93.505		脑疝	NS
G93.506		脑受压	NSY
G93.601		脑水肿	NSZ
G93.602		脑干水肿	NGSZ
G93.701		赖氏综合征	LSZHZ
G93.702		瑞氏综合征（里特氏综合征）	RSZHZLTSZHZ
