22877	脑供血不足
22895	胸痹
22917	虚劳
22926	消渴
22896	中风
22913	胁痛
Z93.401	肠造口术状态
Z93.601	肾造口术
Z94.001	自体肾移植状态
Z94.002	异体肾移植状态
Z94.701	角膜移植术后
Z95.001	安装心脏起搏器状态
Z95.201	人工心脏瓣膜移植状态
Z96.601	髋关节置换术
Z98.801	胆囊切除术后
Z98.802	呼吸系统术后
Z98.803	牙外科正畸术后
Z99.101	依赖于呼吸器者
Z99.201	肾脏透析(CAPD)状态
A06.402	肝阿米巴病
Z47.001	取除骨折内固定装置
Z47.002	取除内固定装置
Z48.001	手术后拆除缝线
Z48.901	手术后对症治疗
Z49.101	肾透析
Z49.201	腹膜透析
Z51.001	恶性肿瘤术后放疗
Z52.201	自愿供骨者
Z52.401	自愿供肾者
Z53.001	由于禁忌症未进行外科操作
Z53.801	由于其他原因而未进行操作
Z54.001	手术后恢复期
Z35.901	高危妊娠
Z36.001	抽取绒毛查胎儿畸形
Z36.002	抽取羊水查染色体
Z36.301	胎儿镜检查
Z37.001	单胎活产
Z37.002	人工受精,单胎活产
Z37.101	单胎死产
Z37.201	单卵双胎活婴
Z37.202	双卵双胎活婴
Z37.203	双胎活产
Z37.204	双胎活婴
Z37.401	双胎死产
Z37.601	多胎活产
Z37.602	三胎活婴
Z37.603	三胎妊娠,二胎死产
Z41.101	面部皱纹整容
Z41.102	乳房成形术
Z42.001	唇裂术后整形
Z42.002	颌面术后整形
Z42.801	截肢残端修整
Z43.201	关闭回肠造口
Z43.301	关闭结肠造口
Z43.401	关闭消化道人工造口
Z45.001	安装心脏起搏器
Z45.801	安装发音钮
Z09.001	手术后随诊检查
Z22.001	伤寒带菌者
Z22.002	鼠伤寒带菌者
Z22.101	阿米巴病带菌者
Z22.201	白喉带菌者
Z22.501	病毒性肝炎带菌者
Z30.101	放置子宫内避孕器
Z30.201	绝育
Z30.202	腹腔镜绝育
Z30.801	放置输卵管内避孕器
Z30.802	放置输卵管内避孕器失败
Z31.001	输卵管绝育术后成形术
Z31.002	输精管绝育术后成形术
Z31.101	人工授精
Z35.102	具有葡萄胎史的妊娠
Z35.103	具有绒毛膜上皮性疾病史的妊娠
Z35.201	具有胎儿畸形史的妊娠
Z35.202	具有其它不良产科史的妊娠
Z35.203	具有先天愚型儿史的妊娠监督
Z35.204	具有胎儿其他疾病史的妊娠
Z35.205	具有新生儿溶血史的妊娠
Z35.206	具有胎死宫内史的妊娠
Z35.207	具有异位妊娠史的妊娠
T90.501	陈旧性创伤性癫痫
T91.101	陈旧性脊柱骨折
T91.102	陈旧性尾骨骨折
T91.103	陈旧性胸椎骨折
T91.201	陈旧性肋骨骨折
T92.101	陈旧性肱骨骨折
T92.201	陈旧性腕骨骨折
T93.101	陈旧性股骨颈骨折
T93.102	陈旧性股骨粗隆间骨折
T93.103	陈旧性股骨干骨折
T93.201	陈旧性下肢骨折
T93.202	陈旧性胫骨骨折
T93.801	陈旧性趾挫伤
